title,description,genre,website_url,image_url,description_length,id,k_means_cluster
Nowhere Boys: The Book of Shadows,The Nowhere Boys are drawn together for one final spell when Felix finds a magically sealed Book of Shadows. Unknowingly the spell releases a powerful teenage force of chaos and revenge that threatens their world.,Family,https://iview.abc.net.au/show/nowhere-boys-the-book-of-shadows/video/CH1409V001S00,https://cdn.iview.abc.net.au/thumbs/i/ch/publicity_CH1409V001S00.jpg,35,669,6
Nowhere Boys,"In the final series, the Nowhere Boys are back more powerful than ever and with an unlikely new member. But the new year brings their most dangerous threat yet - an enemy capable of destroying the entire multiverse.",Family,https://iview.abc.net.au/show/nowhere-boys,https://cdn.iview.abc.net.au/thumbs/i/ch/CH1706V_5be4d1a1386e8_1280.jpg,38,670,9
NSW Votes: By-Election Special,"Jane Norman joins Antony Green, David Speers and Ashleigh Raper for coverage of four NSW byelections: the first electoral test for Dominic Perrottet, four months after he became NSW Premier. Plus today's news with Lara Hyams.",News and current affairs,https://iview.abc.net.au/show/nsw-votes-by-election-special/video/NS2235H001S00,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2235H001S00_6205dbbcaca97_1920.jpg,36,671,4
Numeracy In Construction,This series explores common scenarios in the construction industry where it pays to be numerate. Vocational learners will refresh their understanding of basic mathematical processes and computational thinking.,Education,https://iview.abc.net.au/show/numeracy-in-construction,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2715A_606cfb90aeebc_1920.jpg,28,672,1
Numeracy In Hospitality,This series explores common scenarios in the hospitality industry where it pays to be numerate. Vocational learners will refresh their understanding of basic mathematical processes and computational thinking.,Education,https://iview.abc.net.au/show/numeracy-in-hospitality,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2716A_60908c0f435a1_1280.jpg,28,673,1
Numeracy In Retail,This series explores common scenarios in the retail industry where it pays to be numerate. Vocational learners will find these helpful to refresh their understanding of basic mathematical processes and computational thinking.,Education,https://iview.abc.net.au/show/numeracy-in-retail,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2717A_60a35225c409c.jpg,32,674,1
Ochres,"Told in five parts, Ochres was inspired by the special role ochre plays in Aboriginal ceremony. The performance, by Australia's Bangarra Dance Theatre is a fusion of indigenous and contemporary dance.",Arts and culture,https://iview.abc.net.au/show/ochres/video/ZW2297A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2297A001S00_5eaa1380a91d8_1280.jpg,31,675,7
Octonauts (Mandarin),"An intrepid band of explorers roam the oceans in search of adventure and fun. Led by a valiant polar bear and a daredevil kitten, these talented critters are always ready to embark on an exciting new mission. (Mandarin)","Family, Kids",https://iview.abc.net.au/show/octonauts-mandarin,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1053A_5a6904026bca9_1280.jpg,38,676,12
Octonauts,"An intrepid band of explorers roam the oceans in search of adventure and fun. Led by a valiant polar bear and a daredevil kitten, these talented critters are always ready to embark on an exciting new mission.","Family, Kids",https://iview.abc.net.au/show/octonauts,https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9194A_605d356d5459b_1920.jpg,37,677,12
Odd Squad Healthy Habits,"Odd Squad's The Big O shares a few top tips for physical distancing, good hygiene and staying strong and healthy because the Odd Squad needs you!",Family,https://iview.abc.net.au/show/odd-squad-healthy-habits,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2284A_5ea8b9e5a4f8a.jpg,26,678,9
Odd Squad,"The Odd Squad Mobile Unit is back for more global adventures! From Paris, to Chicago, to Singapore, the team will travel the world in search of anything strange, weird, and especially odd.",Family,https://iview.abc.net.au/show/odd-squad,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2651A_619c2b09a9716.jpg,32,679,12
Odo,"Odo is a little owl with big ideas! At the Forest Camp, he and his best friend Doodle positively tackle every challenge, no matter how big - and believe that everything is possible... often with unexpected outcomes!",Kids,https://iview.abc.net.au/show/odo,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1975A_61e65260c0086_3600.jpg,37,680,9
Offsiders,"The show that gets to the heart of the big sporting issues and events of the week. Kelli Underwood and a panel of sportswriters, commentators, coaches, athletes and officials unpack all the action both on and off the field.",News and current affairs,https://iview.abc.net.au/show/offsiders,https://cdn.iview.abc.net.au/thumbs/i/rs/RS2108V_61cd0ccb9152a.jpg,39,681,4
Oils On The Water,"In 1985, Midnight Oil celebrated in concert on Goat Island, on Sydney Harbour in an event that will be remembered as one of the triumphs of their careers.",Arts and culture,https://iview.abc.net.au/show/oils-on-the-water/video/ZW2970A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2970A001S00_60beb09c351aa_1280.jpg,28,682,14
Old People's Home For 4 Year Olds,A unique social experiment that brings together elderly people in a retirement community with a group of 4-year-olds. Could this encounter between young and old help transform the lives of the elderly?,"Documentary, Family",https://iview.abc.net.au/show/old-people-s-home-for-4-year-olds,https://cdn.iview.abc.net.au/thumbs/i/do/DO1803H_5d536795d8237_1280.jpg,32,683,2
Oliver!,"Young orphan, Oliver Twist, escapes his poor life in search of fame and fortune and meets a group of boys trained to be pickpockets by a criminal mentor. Based on the novel by Charles Dickens.","Drama, Movies",https://iview.abc.net.au/show/oliver/video/ZW3023A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3023A001S00_60c2fe5d15d38_1920.jpg,35,684,0
On A Clear Day,"Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance, swimming the English Channel.","Drama, Movies",https://iview.abc.net.au/show/on-a-clear-day/video/ZW2910A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2910A001S00_609c85a181602_1280.jpg,21,685,5
On The Road,Aspiring writer Sal Paradise has his world rocked following the introduction of free spirit Dean Moriarty and his captivating bride Marylou. The trio embark on a cross-country quest for personal freedom.,"Drama, Movies",https://iview.abc.net.au/show/on-the-road/video/ZW2911A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2911A001S00_609b9aa2da3be_1920.jpg,31,686,10
On The Waterfront,"Terry Malloy, an ex-prizefighter working the docks as a longshoreman, takes on his corrupt union boss, a mobster who rules the dock with an iron fist. Based on true stories.","Drama, Movies",https://iview.abc.net.au/show/on-the-waterfront/video/ZY9329A001S00,https://cdn.iview.abc.net.au/thumbs/i/zy/ZY9329A001S00_60bf0ddb2e9f9.jpg,30,687,0
Once,"An unexpected chance encounter between a guy and girl, who find themselves drawn closer to each other over their shared passion for music.","Drama, Movies",https://iview.abc.net.au/show/once/video/ZW2912A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2912A001S00_60a1f03c64304_1280.jpg,23,688,0
One Plus One,"Some of your favourite ABC presenters bring you more revealing, thought provoking and intimate half hour conversations with fascinating people from all walks of life.","Arts and culture, Panel and discussion",https://iview.abc.net.au/show/one-plus-one,https://cdn.iview.abc.net.au/thumbs/i/nc/NC1913H_5d830acf1b4b2_1280.jpg,25,689,13
One Shot: An Image And An Attitude,Internationally renowned surf photographer Russell Ord has built a reputation for capturing incredible images of surfers on massive waves. Russell is a man on a quest - the one perfect shot.,"Arts and culture, Documentary",https://iview.abc.net.au/show/one-shot-an-image-and-an-attitude/video/AC1524W001S00,https://cdn.iview.abc.net.au/thumbs/i/ac/AC1524W001S00_58cb584479a22_1280.jpg,31,690,13
